province_id,candidate_voting_number,candidate_id,candidate_name,candidate_surname,candidate_firstname,candidate_political_party,candidate_gender,province,candidate_votes,candidate_percentage,processed_polling_stations,expected_polling_stations,polling_stations_percentage,expected_voters,valid_votes,blank_votes,total_voters,voters_percentage
3,12.0,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,KWANGO,355,0.06,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,15.0,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,KWANGO,265,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,16.0,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,KWANGO,360,0.06,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
4,21.0,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,KWILU,498241,45.42,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,22.0,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,KWILU,528,0.05,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,11.0,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,KWILU,210,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,8.0,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,KWILU,312,0.03,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,2.0,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,KWILU,629,0.06,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,26.0,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,KWILU,226,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,16.0,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,KWILU,13373,1.22,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,10.0,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,KWILU,199,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,25.0,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,KWILU,191,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,1.0,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,KWILU,589,0.05,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,19.0,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,KWILU,273,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,4.0,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,KWILU,389,0.04,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,23.0,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,KWILU,347,0.03,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,12.0,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,KWILU,375,0.03,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,14.0,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,KWILU,151,0.01,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,24.0,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,KWILU,144946,13.21,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,9.0,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,KWILU,290,0.03,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,15.0,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,KWILU,464,0.04,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,3.0,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,KWILU,35551,3.24,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,6.0,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,KWILU,268,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,17.0,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,KWILU,114,0.01,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,13.0,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,KWILU,414,0.04,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,20.0,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,KWILU,398449,36.32,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,18.0,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,KWILU,143,0.01,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,5.0,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,KWILU,216,0.02,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
4,7.0,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,KWILU,136,0.01,3441.0,4359.0,79.0,2321250.0,1097024.0,1672.0,1098696.0,47.33
5,24.0,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,MAI-NDOMBE,586,0.15,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,21.0,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,MAI-NDOMBE,3989,1.01,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,12.0,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,MAI-NDOMBE,519,0.13,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,13.0,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,MAI-NDOMBE,545,0.14,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,15.0,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,MAI-NDOMBE,517,0.13,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,14.0,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,MAI-NDOMBE,328,0.08,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,18.0,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,MAI-NDOMBE,263,0.07,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,3.0,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,MAI-NDOMBE,5529,1.4,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,26.0,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,MAI-NDOMBE,222,0.06,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,11.0,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,MAI-NDOMBE,175,0.04,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,25.0,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,MAI-NDOMBE,187,0.05,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,5.0,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,MAI-NDOMBE,282,0.07,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,16.0,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,MAI-NDOMBE,286,0.07,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,23.0,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,MAI-NDOMBE,240,0.06,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,1.0,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,MAI-NDOMBE,1142,0.29,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,10.0,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,MAI-NDOMBE,202,0.05,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,6.0,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,MAI-NDOMBE,327,0.08,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,7.0,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,MAI-NDOMBE,410,0.1,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,22.0,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,MAI-NDOMBE,322,0.08,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,9.0,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,MAI-NDOMBE,373,0.09,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,17.0,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,MAI-NDOMBE,117,0.03,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,19.0,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,MAI-NDOMBE,336,0.08,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,2.0,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,MAI-NDOMBE,1612,0.41,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,4.0,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,MAI-NDOMBE,437,0.11,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,20.0,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,MAI-NDOMBE,376104,95.06,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
5,8.0,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,MAI-NDOMBE,597,0.15,1548.0,1776.0,87.0,951057.0,395647.0,478.0,396125.0,41.65
6,4.0,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,EQUATEUR,184,0.07,1309.0,1961.0,67.0,1021549.0,266369.0,403.0,266772.0,26.11
6,5.0,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,EQUATEUR,142,0.05,1309.0,1961.0,67.0,1021549.0,266369.0,403.0,266772.0,26.11
6,8.0,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,EQUATEUR,78,0.03,1309.0,1961.0,67.0,1021549.0,266369.0,403.0,266772.0,26.11
6,23.0,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,EQUATEUR,185,0.07,1309.0,1961.0,67.0,1021549.0,266369.0,403.0,266772.0,26.11
