province_id,ordre_bulletin,candidat_id,nom,postnom,prenom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,img
3,12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,Kwango,355,0.06,2109,2380,89,994679,631247,1051,632298,63.57,
3,15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,Kwango,265,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,16,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,Kwango,360,0.06,2109,2380,89,994679,631247,1051,632298,63.57,
4,21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,Kwilu,498241,45.42,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,22,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,Kwilu,528,0.05,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,Kwilu,210,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,8,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,Kwilu,312,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,2,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,Kwilu,629,0.06,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,26,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,Kwilu,226,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,16,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,Kwilu,13373,1.22,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,10,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,Kwilu,199,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Kwilu,191,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,1,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,Kwilu,589,0.05,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,19,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,Kwilu,273,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,4,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,Kwilu,389,0.04,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,23,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,Kwilu,347,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,Kwilu,375,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,14,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,Kwilu,151,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,Kwilu,144946,13.21,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,Kwilu,290,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,Kwilu,464,0.04,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,Kwilu,35551,3.24,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Kwilu,268,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,17,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,Kwilu,114,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Kwilu,414,0.04,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,20,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,Kwilu,398449,36.32,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,Kwilu,143,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,5,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,Kwilu,216,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,
4,7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,Kwilu,136,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,
5,24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,Mai-Ndombe,586,0.15,1548,1776,87,951057,395647,478,396125,41.65,
5,21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,Mai-Ndombe,3989,1.01,1548,1776,87,951057,395647,478,396125,41.65,
5,12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,Mai-Ndombe,519,0.13,1548,1776,87,951057,395647,478,396125,41.65,
5,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Mai-Ndombe,545,0.14,1548,1776,87,951057,395647,478,396125,41.65,
5,15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,Mai-Ndombe,517,0.13,1548,1776,87,951057,395647,478,396125,41.65,
5,14,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,Mai-Ndombe,328,0.08,1548,1776,87,951057,395647,478,396125,41.65,
5,18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,Mai-Ndombe,263,0.07,1548,1776,87,951057,395647,478,396125,41.65,
5,3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,Mai-Ndombe,5529,1.4,1548,1776,87,951057,395647,478,396125,41.65,
5,26,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,Mai-Ndombe,222,0.06,1548,1776,87,951057,395647,478,396125,41.65,
5,11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,Mai-Ndombe,175,0.04,1548,1776,87,951057,395647,478,396125,41.65,
5,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Mai-Ndombe,187,0.05,1548,1776,87,951057,395647,478,396125,41.65,
5,5,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,Mai-Ndombe,282,0.07,1548,1776,87,951057,395647,478,396125,41.65,
5,16,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,Mai-Ndombe,286,0.07,1548,1776,87,951057,395647,478,396125,41.65,
5,23,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,Mai-Ndombe,240,0.06,1548,1776,87,951057,395647,478,396125,41.65,
5,1,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,Mai-Ndombe,1142,0.29,1548,1776,87,951057,395647,478,396125,41.65,
5,10,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,Mai-Ndombe,202,0.05,1548,1776,87,951057,395647,478,396125,41.65,
5,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Mai-Ndombe,327,0.08,1548,1776,87,951057,395647,478,396125,41.65,
5,7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,Mai-Ndombe,410,0.1,1548,1776,87,951057,395647,478,396125,41.65,
5,22,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,Mai-Ndombe,322,0.08,1548,1776,87,951057,395647,478,396125,41.65,
5,9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,Mai-Ndombe,373,0.09,1548,1776,87,951057,395647,478,396125,41.65,
5,17,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,Mai-Ndombe,117,0.03,1548,1776,87,951057,395647,478,396125,41.65,
5,19,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,Mai-Ndombe,336,0.08,1548,1776,87,951057,395647,478,396125,41.65,
5,2,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,Mai-Ndombe,1612,0.41,1548,1776,87,951057,395647,478,396125,41.65,
5,4,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,Mai-Ndombe,437,0.11,1548,1776,87,951057,395647,478,396125,41.65,
5,20,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,Mai-Ndombe,376104,95.06,1548,1776,87,951057,395647,478,396125,41.65,
5,8,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,Mai-Ndombe,597,0.15,1548,1776,87,951057,395647,478,396125,41.65,
6,4,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,Equateur,184,0.07,1309,1961,67,1021549,266369,403,266772,26.11,
6,5,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,Equateur,142,0.05,1309,1961,67,1021549,266369,403,266772,26.11,
6,8,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,Equateur,78,0.03,1309,1961,67,1021549,266369,403,266772,26.11,
6,23,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,Equateur,185,0.07,1309,1961,67,1021549,266369,403,266772,26.11,
6,24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,Equateur,114,0.04,1309,1961,67,1021549,266369,403,266772,26.11,
6,15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,Equateur,180,0.07,1309,1961,67,1021549,266369,403,266772,26.11,
6,12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,Equateur,269,0.1,1309,1961,67,1021549,266369,403,266772,26.11,
6,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Equateur,126,0.05,1309,1961,67,1021549,266369,403,266772,26.11,
6,21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,Equateur,1789,0.67,1309,1961,67,1021549,266369,403,266772,26.11,
6,9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,Equateur,218,0.08,1309,1961,67,1021549,266369,403,266772,26.11,
6,18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,Equateur,158,0.06,1309,1961,67,1021549,266369,403,266772,26.11,
6,16,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,Equateur,654,0.25,1309,1961,67,1021549,266369,403,266772,26.11,
6,11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,Equateur,103,0.04,1309,1961,67,1021549,266369,403,266772,26.11,
6,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Equateur,197,0.07,1309,1961,67,1021549,266369,403,266772,26.11,
6,17,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,Equateur,71,0.03,1309,1961,67,1021549,266369,403,266772,26.11,
6,14,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,Equateur,70,0.03,1309,1961,67,1021549,266369,403,266772,26.11,
6,3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,Equateur,9269,3.48,1309,1961,67,1021549,266369,403,266772,26.11,
6,20,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,Equateur,234831,88.16,1309,1961,67,1021549,266369,403,266772,26.11,
6,19,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,Equateur,302,0.11,1309,1961,67,1021549,266369,403,266772,26.11,
