province_id,ordre_bulletin,candidat_id,nom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,postnom,prenom,img
5,4,1_1_1_149_269,SESANGA,ENVOL,M,Mai-Ndombe,437,0.11,1548,1776,87,951057,395647,478,396125,41.65,HIPUNGU DJA KASENG KAPITU,DELLY,
5,20,1_1_1_143_263,TSHISEKEDI,INDEPENDANT,M,Mai-Ndombe,376104,95.06,1548,1776,87,951057,395647,478,396125,41.65,TSHILOMBO,FELIX ANTOINE,
5,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Mai-Ndombe,597,0.15,1548,1776,87,951057,395647,478,396125,41.65,FALAY,GEORGES,
6,4,1_1_1_149_269,SESANGA,ENVOL,M,Equateur,184,0.07,1309,1961,67,1021549,266369,403,266772,26.11,HIPUNGU DJA KASENG KAPITU,DELLY,
6,5,1_1_1_145_265,ANZULUNI,INDEPENDANT,M,Equateur,142,0.05,1309,1961,67,1021549,266369,403,266772,26.11,ISILOKETSHI,FLORIBERT,
6,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Equateur,78,0.03,1309,1961,67,1021549,266369,403,266772,26.11,FALAY,GEORGES,
6,23,1_1_1_132_252,DIONGO,MLP,M,Equateur,185,0.07,1309,1961,67,1021549,266369,403,266772,26.11,SHAMBA,FRANCK,
6,24,1_1_1_133_253,MUZITO,NOU.EL,M,Equateur,114,0.04,1309,1961,67,1021549,266369,403,266772,26.11,FUMUTSHI,ADOLPHE,
6,15,1_1_1_134_254,MUKWEGE,INDEPENDANT,M,Equateur,180,0.07,1309,1961,67,1021549,266369,403,266772,26.11,MUKENGERE,DENIS,
6,12,1_1_1_151_271,MAJONDO,INDEPENDANT,M,Equateur,269,0.1,1309,1961,67,1021549,266369,403,266772,26.11,MWAMBA,PATRICE,
6,25,1_1_1_152_272,BILE,INDEPENDANT,F,Equateur,126,0.05,1309,1961,67,1021549,266369,403,266772,26.11,BATALI,JOELLE,
6,21,1_1_1_137_257,FAYULU,LAMUKAFAYULU,M,Equateur,1789,0.67,1309,1961,67,1021549,266369,403,266772,26.11,MADIDI,MARTIN,
6,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Equateur,218,0.08,1309,1961,67,1021549,266369,403,266772,26.11,MPUTA MPUNGA,MARIE-JOSEE,
6,18,1_1_1_144_264,NKEMA LILOO,INDEPENDANT,M,Equateur,158,0.06,1309,1961,67,1021549,266369,403,266772,26.11,BOKONZI,LOLI,
6,16,1_1_1_136_256,NGALASI,INDEPENDANT,M,Equateur,654,0.25,1309,1961,67,1021549,266369,403,266772,26.11,KURISINI,AGGREY,
6,11,1_1_1_150_270,KIKUNI,INDEPENDANT,M,Equateur,103,0.04,1309,1961,67,1021549,266369,403,266772,26.11,MASUDI,SETH,
6,13,1_1_1_147_267,MASALU,INDEPENDANT,M,Equateur,197,0.07,1309,1961,67,1021549,266369,403,266772,26.11,ANEDU,ANDRE,
6,17,1_1_1_146_266,NGOY,INDEPENDANT,M,Equateur,71,0.03,1309,1961,67,1021549,266369,403,266772,26.11,ILUNGA WA NSENGA,THEODORE,
6,14,1_1_1_138_258,MUDEKEREZA,INDEPENDANT,M,Equateur,70,0.03,1309,1961,67,1021549,266369,403,266772,26.11,BISIMWA,JUSTIN,
6,3,1_1_1_135_255,KATUMBI,ENSEMBLE,M,Equateur,9269,3.48,1309,1961,67,1021549,266369,403,266772,26.11,CHAPWE,MOISE,
6,20,1_1_1_143_263,TSHISEKEDI,INDEPENDANT,M,Equateur,234831,88.16,1309,1961,67,1021549,266369,403,266772,26.11,TSHILOMBO,FELIX ANTOINE,
6,19,1_1_1_141_261,TSHIANI K,INDEPENDANT,M,Equateur,302,0.11,1309,1961,67,1021549,266369,403,266772,26.11,MUADIAMVITA,NOEL,
6,10,1_1_1_130_250,KAZADI,INDEPENDANT,M,Equateur,137,0.05,1309,1961,67,1021549,266369,403,266772,26.11,KANDA,REX,
6,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Equateur,15864,5.96,1309,1961,67,1021549,266369,403,266772,26.11,ETAFE ELIKO,JEAN CLAUDE,
6,1,1_1_1_131_251,RADJABHO,CUC,M,Equateur,555,0.21,1309,1961,67,1021549,266369,403,266772,26.11,TEBABHO,SOBORABO,
6,7,1_1_1_142_262,BOLAMBA,INDEPENDANT,M,Equateur,399,0.15,1309,1961,67,1021549,266369,403,266772,26.11,,TONY CASSIUS,
6,26,1_1_1_153_273,NGILA,INDEPENDANT,M,Equateur,101,0.04,1309,1961,67,1021549,266369,403,266772,26.11,,HENOCK,
6,22,1_1_1_128_248,MATATA,LGD,M,Equateur,138,0.05,1309,1961,67,1021549,266369,403,266772,26.11,PONYO,MAPON,
