voting_site_id,1_1_1_128_248,1_1_1_129_249,1_1_1_130_250,1_1_1_131_251,1_1_1_132_252,1_1_1_133_253,1_1_1_134_254,1_1_1_135_255,1_1_1_136_256,1_1_1_137_257,1_1_1_138_258,1_1_1_139_259,1_1_1_140_260,1_1_1_141_261,1_1_1_142_262,1_1_1_143_263,1_1_1_144_264,1_1_1_145_265,1_1_1_146_266,1_1_1_147_267,1_1_1_148_268,1_1_1_149_269,1_1_1_150_270,1_1_1_151_271,1_1_1_152_272,1_1_1_153_273,1_1_1_999_999
1002050,0,34,1,0,0,19,3,97,9,49,0,11,0,2,0,1569,0,0,0,1,13,0,0,0,1,0,2
1002051,0,3,0,1,0,3,1,87,13,39,0,2,0,0,0,1054,0,0,0,0,1,1,0,0,0,1,2
1002052,0,1,0,0,0,3,2,152,26,49,0,5,0,0,0,1387,0,0,0,0,3,1,0,0,0,0,3
1002053,1,14,0,0,0,4,2,97,14,45,0,2,0,0,0,1383,0,0,0,0,2,1,0,0,0,0,1
1002054,1,15,0,1,1,7,4,252,31,115,0,1,2,0,0,2486,0,3,0,1,1,0,2,0,0,0,13
1002055,0,1,0,1,0,3,1,119,8,51,0,4,1,0,1,1313,0,1,1,1,3,1,0,1,0,0,13
1002056,0,1,1,1,0,0,0,63,0,21,0,1,0,1,0,815,0,0,0,0,5,0,0,0,2,0,0
1002057,0,0,0,0,0,1,0,26,3,16,0,1,0,0,0,355,1,0,0,0,1,0,0,0,0,0,1
1002058,4,4,4,3,3,4,2,185,12,114,5,6,0,17,4,1404,11,3,7,11,9,1,5,5,18,8,1
1002059,0,3,0,1,0,0,1,41,8,16,0,0,0,0,0,532,0,0,0,0,1,0,0,0,0,1,0
1002060,0,0,0,0,0,1,0,52,11,40,0,1,0,0,0,775,0,1,0,0,0,1,0,0,0,1,0
1002061,0,0,0,1,0,5,3,55,16,61,0,0,1,0,0,844,0,0,0,0,0,0,0,0,0,0,2
1002062,1,0,0,1,0,0,3,49,1,26,0,1,0,0,0,492,0,0,0,0,1,0,0,0,0,0,5
1002063,0,1,0,1,0,12,2,44,14,44,0,2,1,1,0,645,0,0,0,0,2,0,0,0,0,0,0
1002064,0,2,0,0,0,1,1,43,3,20,0,1,0,0,0,659,0,0,0,0,0,0,0,0,0,0,1
1002065,0,1,0,0,0,9,1,64,19,50,0,1,0,0,0,658,0,0,0,1,0,1,0,1,0,0,0
1002066,0,0,0,0,1,4,2,51,19,27,0,2,0,0,0,621,0,0,0,0,0,1,0,0,1,0,1
1002067,1,1,1,0,1,37,1,54,3,31,0,0,1,1,0,795,1,2,0,0,6,1,0,0,1,0,0
1002068,3,0,1,1,0,3,1,47,11,10,0,0,0,0,0,817,0,0,0,0,0,0,0,0,0,0,2
1002069,3,2,2,1,0,2,0,70,0,19,0,0,0,4,0,542,1,0,0,0,1,1,0,0,1,5,1
